qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
5,Average,Below average,Above average,Enabled,unko,沖縄県＿車内クリーニング,車　 うんこ,車 シート うんち,https://carinteriorcleaning.jp/regions/okinawa/unko/
6,Average,Average,Average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 ルーム クリーニング,
6,Average,Average,Average,Enabled,interior-cleaning,千葉県＿車内クリーニング,int千葉_通常清掃,車内 クリーニング 専門 店 千葉,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/
6,Average,Average,Average,Enabled,interior-cleaning,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店 大阪,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/
6,Average,Average,Average,Enabled,interior-cleaning,福岡県＿車内クリーニング,int福岡_通常清掃,車内 クリーニング 専門 店 福岡,https://carinteriorcleaning.jp/regions/fukuoka/interior-cleaning/
6,Below average,Above average,Average,Enabled,interior-cleaning,群馬県＿車内クリーニング,int群馬_通常清掃,車内 クリーニング 専門 店 群馬,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/
6,Average,Average,Average,Enabled,interior-cleaning,宮城県＿車内クリーニング,int宮城_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/miyagi/interior-cleaning/
6,Below average,Above average,Average,Enabled,interior-cleaning,千葉県＿車内クリーニング,int千葉_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/
6,Average,Average,Average,Enabled,interior-cleaning,千葉県＿車内クリーニング,int千葉_通常清掃,車内 清掃 プロ,https://carinteriorcleaning.jp/regions/chiba/interior-cleaning/
6,Average,Above average,Below average,Enabled,kuruma-nioi-keshi,大阪府＿車内クリーニング,AG_消臭_口語,車 匂い 消し 業者,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/
6,Average,Average,Average,Enabled,shanai-shoshu,愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/
6,Average,Above average,Below average,Enabled,shanai-shoshu,千葉県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/
6,Average,Average,Average,Enabled,shanai-shoshu,群馬県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/gunma/shanai-shoshu/
6,Average,Above average,Below average,Enabled,shanai-shoshu,栃木県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/tochigi/shanai-shoshu/
