campaign,ad_group,keyword,match_type,quality_score,landing_page_experience,expected_ctr,ad_relevance,final_url,status
大阪府＿車内クリーニング,int大阪_通常清掃,車 クリーニング 嘔吐,Phrase,5,Below average,Average,Above average,,Paused
大阪府＿車内クリーニング,車　 ペット臭,車 ペット臭,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/pet-nioi/,Enabled
大阪府＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/seat-senjo/,Enabled
大阪府＿車内クリーニング,int トラック大阪,車内 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
大阪府＿車内クリーニング,int トラック大阪,車 清掃 業者,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング 専門 店,Phrase,5,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
大阪府＿車内クリーニング,int トラック大阪,車内 クリーニング,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,Paused
大阪府＿車内クリーニング,エアコン_エバポレーター,エアコン エバポレーター,Broad,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/,Enabled
沖縄県＿車内クリーニング,int沖縄２515,沖縄 車内 清掃,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,Enabled
沖縄県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,Enabled
沖縄県＿車内クリーニング,車シート 洗浄,車 シート 洗浄 おすすめ,Phrase,5,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,Enabled
沖縄県＿車内クリーニング,車　 うんこ,車 シート うんち,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/unko/,Enabled
沖縄県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 クリーニング,Phrase,5,Average,Average,Below average,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/,Enabled
沖縄県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消臭,Phrase,5,Average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/shanai-shoshu/,Enabled
宮城県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 臭い,Phrase,5,Below average,Above average,Below average,https://carinteriorcleaning.jp/regions/miyagi/shanai-shoshu/,Enabled
宮城県＿車内クリーニング,車シート 洗浄,車シート 洗浄,Phrase,5,Below average,Average,Above average,https://carinteriorcleaning.jp/regions/miyagi/seat-senjo/,Enabled
