severity,campaign,ad_group,path2,actual_theme,actual_slug,final_url,headline2,line
HIGH,宮城県＿車内クリーニング,緊急_灯油,ペットうんち,灯油,touyu-kobosi,https://carinteriorcleaning.jp/regions/miyagi/touyu-kobosi/,宮城 灯油 こぼし 車,223
HIGH,宮城県＿車内クリーニング,緊急_ペット,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,宮城 ペット 車内 清掃,225
HIGH,宮城県＿車内クリーニング,消臭_口語,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,消臭スプレー 効かない 車,226
HIGH,宮城県＿車内クリーニング,消臭_中古車,嘔吐ニオイ清掃,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/miyagi/chuko-tabako/,宮城 中古車 臭い 車内,229
HIGH,宮城県＿車内クリーニング,消臭_湿気カビ,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/miyagi/shanai-nioi/,車 ペット臭 消臭 プロ 出張,230
HIGH,宮城県＿車内クリーニング,消臭_湿気カビ,ペットうんち,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/miyagi/shanai-nioi/,宮城 車内 カビ臭,231
HIGH,宮城県＿車内クリーニング,エアコン_エバポレーター,嘔吐ニオイ清掃,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/,車 エアコン 臭い 取れない プロ,233
HIGH,宮城県＿車内クリーニング,エアコン_エバポレーター,ペットうんち,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/,車 エアコン 咳 目が痒い 洗浄,234
HIGH,宮城県＿車内クリーニング,AG_エアコン_エバポ,嘔吐ニオイ清掃,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/,宮城 エアコン 臭い 車,236
HIGH,宮城県＿車内クリーニング,条件_出張,嘔吐ニオイ清掃,出張専門,shutchou-senmon,https://carinteriorcleaning.jp/regions/miyagi/shutchou-senmon/,出張 車内クリーニング おすすめ,238
